cudaMemcpy_7,40000,0.0522239991,0,ISARMain
ISARMain_kernel4_0,1,1,0.0035520000,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0450560004,0,ISARMain
ISARMain_kernel4_0,1,1,0.0030720001,ISARMain
cudaMemcpy_8,40000,0.0491520017,0,ISARMain
cudaMemcpy_7,40000,0.0440320000,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0460800007,0,ISARMain
ISARMain_kernel4_0,1,1,0.0030720001,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0450560004,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0542719997,0,ISARMain
ISARMain_kernel4_0,1,1,0.0033920000,ISARMain
cudaMemcpy_8,40000,0.0460800007,0,ISARMain
cudaMemcpy_7,40000,0.0481280014,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0471040010,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0481280014,0,ISARMain
cudaMemcpy_7,40000,0.0511999987,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0645119995,0,ISARMain
cudaMemcpy_7,40000,0.0450560004,0,ISARMain
ISARMain_kernel4_0,1,1,0.0031039999,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0450560004,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0460800007,0,ISARMain
cudaMemcpy_7,40000,0.0440320000,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0706560016,0,ISARMain
cudaMemcpy_7,40000,0.0471040010,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0460800007,0,ISARMain
cudaMemcpy_7,40000,0.0460800007,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0440320000,0,ISARMain
ISARMain_kernel4_0,1,1,0.0033600000,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0440320000,0,ISARMain
ISARMain_kernel4_0,1,1,0.0031039999,ISARMain
cudaMemcpy_8,40000,0.0460800007,0,ISARMain
cudaMemcpy_7,40000,0.0450560004,0,ISARMain
ISARMain_kernel4_0,1,1,0.0033280000,ISARMain
cudaMemcpy_8,40000,0.0460800007,0,ISARMain
cudaMemcpy_7,40000,0.0450560004,0,ISARMain
ISARMain_kernel4_0,1,1,0.0030720001,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0450560004,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
cudaMemcpy_8,40000,0.0460800007,0,ISARMain
cudaMemcpy_7,40000,0.0450560004,0,ISARMain
ISARMain_kernel4_0,1,1,0.0034240000,ISARMain
cudaMemcpy_8,40000,0.0491520017,0,ISARMain
cudaMemcpy_7,40000,0.0460800007,0,ISARMain
ISARMain_kernel4_0,1,1,0.0030720001,ISARMain
cudaMemcpy_8,40000,0.0450560004,0,ISARMain
cudaMemcpy_7,40000,0.0460800007,0,ISARMain
ISARMain_kernel4_0,1,1,0.0040960000,ISARMain
